-40	90	4383.84
-20	90	4384.075
0	90	4495.636
20	90	4558.028
40	90	4663.289
-60	70	4333.787
-40	70	4455.544
-20	70	4552.061
0	70	4631.471
20	70	4641.058
40	70	4630.354
60	70	4546.758
-80	50	4296.975
-60	50	4536.857
-40	50	4663.487
-20	50	4716.561
0	50	4727.006
20	50	4748.925
40	50	4635.515
60	50	4591.212
80	50	4411.952
-100	30	4237.225
-80	30	4414.577
-60	30	4745.359
-40	30	4692.017
-20	30	4724.593
0	30	4668.102
20	30	4707.041
40	30	4686.978
60	30	4532.768
80	30	4282.766
-100	10	4259.434
-80	10	4615.492
-60	10	4727.8
-40	10	4773.031
-20	10	4842.472
0	10	4767.789
20	10	4635.579
40	10	4737.301
60	10	4661.018
80	10	4354.88
-100	-10	4296.583
-80	-10	4545.086
-60	-10	4758.795
-40	-10	4787.528
-20	-10	4741.444
0	-10	4703.25
20	-10	4753.146
40	-10	4701.32
60	-10	4607.828
80	-10	4371.969
-100	-30	4310.104
-80	-30	4626.338
-60	-30	4787.46
-40	-30	4753.413
-20	-30	4688.297
0	-30	4595.528
20	-30	4703.743
40	-30	4668.917
60	-30	4451.005
80	-30	4271.503
-80	-50	4464.536
-60	-50	4693.598
-40	-50	4818.728
-20	-50	4822.927
0	-50	4775.642
20	-50	4684.076
40	-50	4642.565
60	-50	4415.604
80	-50	4247.546
-60	-70	4447.882
-40	-70	4675.032
-20	-70	4703.399
0	-70	4701.932
20	-70	4610.106
40	-70	4471.363
60	-70	4200.003
-40	-90	4377.972
-20	-90	4443.399
0	-90	4469.348
20	-90	4284.099
40	-90	4262.525
